#CAPA	B3A2C0	B3C2A0	C3B2A0
1	6.14E-01	1.65E+00	1.50E+00
2	6.55E+00	8.08E+00	8.52E+00
3	1.21E+00	3.08E+00	2.61E+00
4	5.47E+00	6.37E+00	6.71E+00
5,7	2.19E+00	3.66E+00	3.06E+00
6	1.97E+01	2.34E+01	2.22E+01
8	5.05E+00	6.09E+00	5.63E+00
9	5.61E-01	9.31E-01	7.91E-01
10	1.92E+01	2.27E+01	2.21E+01
11	2.13E+00	2.95E+00	2.86E+00
12	5.70E+00	6.31E+00	6.47E+00
13	1.24E+00	1.59E+00	1.60E+00
14,16,18,20,22	2.23E+01	2.44E+01	2.57E+01
15,17,19,21,23	2.48E+00	2.87E+00	3.05E+00
24	8.45E+00	9.95E+00	1.03E+01
25	1.85E+00	2.27E+00	2.38E+00
26	2.77E+01	3.29E+01	3.41E+01
27	3.70E+00	4.37E+00	4.65E+00	
29	4.04E-02	8.58E-01	1.30E+00
